,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Cajas Solicitadas,Pallets Solicitados
0,SD,174893,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",363993,150.0,3.0
1,SD,175330,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",363993,8.0,0.035714
2,SD,175330,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",363993,8.0,0.035714
3,SD,175330,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",363993,64.0,0.285714
4,SD,175330,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",363993,8.0,0.035714
5,SD,175494,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",334254,420.0,7.0
6,SD,175494,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",334254,96.0,0.428571
7,SD,175495,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",288883,64.0,0.285714
8,SD,175615,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",260883,30.0,0.1875
9,SD,175697,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",232571,32.0,0.142857
10,SD,175713,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",299351,30.0,0.5
11,SD,175713,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",299351,48.0,0.666667
12,SD,175753,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",366063,5.0,0.027027
13,SD,175753,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",366063,5.0,0.03125
14,SD,175753,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",366063,5.0,0.03125
15,SD,175759,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",282507,5.0,0.03125
16,SD,175759,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",282507,5.0,0.03125
17,SD,175767,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",273955,180.0,3.0
18,SD,175767,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",273955,336.0,4.666667
19,SD,175768,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",251874,600.0,10.0
20,SD,175768,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",251874,720.0,10.0
21,SD,175771,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",363993,5.0,0.027027
22,SD,175771,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",363993,5.0,0.03125
23,SD,175771,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",363993,5.0,0.03125
24,SD,175771,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",363993,8.0,0.035714
25,SD,175771,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",363993,8.0,0.035714
26,SD,175771,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",363993,8.0,0.035714
27,SD,175781,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",241222,5.0,0.03125
28,SD,175781,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",241222,5.0,0.03125
29,SD,175781,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",241222,16.0,0.071429
30,SD,175782,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",248095,5.0,0.03125
31,SD,175782,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",248095,5.0,0.03125
32,SD,175782,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",248095,16.0,0.071429
33,SD,175798,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",319406,240.0,4.0
34,SD,175808,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",365798,650.0,10.833333
35,SD,175808,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",365798,780.0,10.833333
36,SD,175815,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",242389,37.0,0.2
37,SD,175815,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",242389,20.0,0.125
38,SD,175815,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",242389,20.0,0.125
39,SD,175815,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",242389,600.0,12.0
40,SD,175815,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",242389,32.0,0.142857
41,SD,175825,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",225675,60.0,1.0
42,SD,175833,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",241227,5.0,0.03125
43,SD,175833,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",241227,5.0,0.03125
44,SD,175841,6011270001,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL       ",258384,7.0,0.048611
45,SD,175841,6011270002,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL       ",258384,6.0,0.057143
46,SD,175841,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",258384,300.0,5.0
47,SD,175841,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",258384,792.0,11.0
48,SD,175841,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",258384,60.0,1.0
49,SD,175841,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",258384,150.0,3.0
50,SD,175841,6011570002,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.            ",258384,6.0,0.1
51,SD,175841,6011570005,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.           ",258384,32.0,0.2
52,SD,175841,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",258384,13.0,0.180556
53,SD,175841,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",258384,20.0,0.089286
54,SD,175841,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",258384,18.0,0.080357
55,SD,175841,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",258384,140.0,0.625
56,SD,175843,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",245302,105.0,1.458333
57,SD,175843,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",245302,60.0,1.0
58,SD,175844,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",334254,216.0,3.0
59,SD,175844,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",334254,96.0,0.428571
60,SD,175845,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",288883,216.0,3.0
61,SD,175845,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",288883,64.0,0.285714
62,SD,175848,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",313119,60.0,1.0
63,SD,175849,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",228809,180.0,3.0
64,SD,175849,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",228809,288.0,4.0
65,SD,175851,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",274918,30.0,0.5
66,SD,175858,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",306443,360.0,7.2
67,SD,175863,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",361408,72.0,1.0
68,SD,175863,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",361408,60.0,1.2
69,SD,175864,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",280862,360.0,7.2
70,SD,175865,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",301161,1400.0,28.0
71,SD,175866,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",301161,200.0,1.25
72,SD,175866,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",301161,1100.0,22.0
73,SD,175866,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",301161,50.0,0.694444
74,SD,175866,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",301161,154.0,0.6875
75,SD,175866,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",301161,100.0,0.446429
76,SD,175867,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",301161,300.0,1.339286
77,SD,175867,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",301161,473.0,2.111607
78,SD,175874,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",241210,1120.0,28.0
79,SD,175878,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",330853,60.0,1.0
80,SD,175880,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",241229,5.0,0.03125
81,SD,175880,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",241229,5.0,0.03125
82,SD,175881,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",232182,840.0,16.8
83,SD,175881,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",232182,360.0,5.0
84,SD,175882,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",301161,420.0,2.625
85,SD,175883,6011270001,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL       ",301161,50.0,0.347222
86,SD,175883,6011570002,"AC,NATURA,GIR/OLIVA,12X1,5L,C,ESP,M.I.            ",301161,22.0,0.366667
87,SD,175883,6011570005,"AC,NATURA,GIR/OLIVA,12X500ML,C,ESP,M.I.           ",301161,50.0,0.3125
88,SD,175884,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",225605,1040.0,17.333333
89,SD,175885,6010950016,"AC,MAZOLA CLA,MAIZ,12X900ML,B,ESP,M.I.            ",286954,10.0,0.095238
90,SD,175885,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",286954,300.0,5.0
91,SD,175885,6010010112,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL                 ",286954,180.0,3.0
92,SD,175885,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",286954,300.0,6.0
93,SD,175885,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",286954,96.0,0.428571
94,SD,175886,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",326701,326.0,5.433333
95,SD,175886,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",326701,216.0,3.0
96,SD,175887,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",247583,1440.0,20.0
97,SD,175888,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",261777,160.0,3.2
98,SD,175889,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",242964,5.0,0.022321
99,SD,175889,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",242964,5.0,0.022321
100,SD,175889,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",242964,10.0,0.044643
101,SD,175891,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",255871,144.0,2.0
102,SD,175891,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",255871,150.0,3.0
103,SD,175894,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",304576,10.0,0.054054
104,SD,175894,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",304576,20.0,0.125
105,SD,175894,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",304576,20.0,0.125
