,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Pallets Solicitados,Cajas Solicitadas
0,256165,SD,663714,6030050074,"MAYO,CADA DIA,LINEA DEL CHEF,4,2900 CC,SH,ST (SIN ",4.175,334.0
1,357270,SD,663322,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.076923,20.0
2,357270,SD,663322,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",1.0,144.0
3,279534,SD,663437,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.115385,30.0
4,258285,SD,663770,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.192308,50.0
5,258285,SD,663770,6030050069,"MAYO,CADA DIA,RVL,20,125 CC,L.G,SH,ST (SIN TAPA),E",0.0625,17.0
6,258285,SD,663770,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",0.038462,10.0
7,258285,SD,663770,6030040073,"MAYO,MAYOLIVA,L.G,20,125 CC,SH,ST (SIN TAPA),ESP,M",0.220588,60.0
8,258285,SD,663770,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",1.076923,280.0
9,258285,SD,663770,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",0.5,72.0
10,258285,SD,663770,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",1.0,272.0
11,258285,SD,663771,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",0.038462,10.0
12,258285,SD,663771,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",0.230769,60.0
13,258285,SD,663771,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",0.125,18.0
14,258285,SD,663771,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",0.625,170.0
15,258285,SD,663771,6050100007,"SGOLF,NATURA L.G.,12,250 GR,DP,ST (SIN TAPA),ESP,M",0.038462,10.0
16,317746,SD,663630,6040100001,"KET,NATURA,192,8 G,SH,ST,ESP,M.I.                 ",0.076923,29.0
17,317746,SD,663753,6030010170,"MAYO,NATURA,RVL 31%,L.G,20,125 CC,SH,ST (SIN TAPA)",28.0,7616.0
18,317746,SD,663754,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",0.538462,140.0
