,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Boca de entrega,Artículo@LITM,Artículo@Descripcion,Cajas Solicitadas,Pallets Solicitados
0,SD,175330,363993,6010140007,"RO.VEG.(AL),MAZOLA CL.,MAIZ,12X120GRS,ESP,M.I.    ",8.0,0.035714
1,SD,175330,363993,6010140008,"RO.VEG.(AL),MAZOLA MANTECA,12X12X120GRS,ESP,M.I.  ",8.0,0.035714
2,SD,175330,363993,6010550008,"RO.VEG.(AL),NATURA,GIR,12X120GRS,ESP,M.I.         ",64.0,0.285714
3,SD,175330,363993,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",8.0,0.035714
4,SD,175615,260883,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",30.0,0.1875
5,SD,175697,232571,6011640001,"RO.VEG.(AL),NATURA,OLIVA,12X120GRS,ESP,M.I.       ",32.0,0.142857
6,SD,175753,366063,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",5.0,0.027027
7,SD,175753,366063,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",5.0,0.03125
8,SD,175753,366063,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",5.0,0.03125
9,SD,175759,282507,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",5.0,0.03125
10,SD,175759,282507,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",5.0,0.03125
11,SD,175767,273955,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",180.0,3.0
12,SD,175767,273955,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",336.0,4.666667
13,SD,175768,251874,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",600.0,10.0
14,SD,175768,251874,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",720.0,10.0
15,SD,175771,363993,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",5.0,0.027027
16,SD,175771,363993,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",5.0,0.03125
17,SD,175771,363993,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",5.0,0.03125
