,Artículo@LITM,Artículo@Descripcion,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Cajas Solicitadas,Pallets Solicitados
0,6011270001,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL       ",301161,SD,175883,50.0,0.347222
1,6011270001,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL       ",258384,SD,175841,7.0,0.048611
2,6011270002,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL       ",258384,SD,175841,6.0,0.057143
3,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",344134,SD,175896,30.0,0.162162
4,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",304576,SD,175894,10.0,0.054054
5,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",242389,SD,175815,37.0,0.2
6,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",366063,SD,175753,5.0,0.027027
7,6010900033,"AC,NATURA ANDINO,OLIVA VE,6X500ML,E,ESP,M.I.      ",363993,SD,175771,5.0,0.027027
8,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",304576,SD,175894,20.0,0.125
9,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",242389,SD,175815,20.0,0.125
10,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",260883,SD,175615,30.0,0.1875
11,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",366063,SD,175753,5.0,0.03125
12,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",282507,SD,175759,5.0,0.03125
13,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",241222,SD,175781,5.0,0.03125
14,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",363993,SD,175771,5.0,0.03125
15,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",248095,SD,175782,5.0,0.03125
16,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",241227,SD,175833,5.0,0.03125
17,6010900037,"AC,NATURA FUERTE TRI,OLIVA VE,12X500ML,C,ESP,M.I. ",241229,SD,175880,5.0,0.03125
18,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",304576,SD,175894,20.0,0.125
19,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",301161,SD,175882,420.0,2.625
20,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",242389,SD,175815,20.0,0.125
21,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",366063,SD,175753,5.0,0.03125
22,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",282507,SD,175759,5.0,0.03125
23,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",241222,SD,175781,5.0,0.03125
24,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",363993,SD,175771,5.0,0.03125
25,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",248095,SD,175782,5.0,0.03125
26,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",241227,SD,175833,5.0,0.03125
27,6010900040,"AC,NATURA SUAVE BI,OLIVA VE,12X500ML,C,ESP,M.I.   ",241229,SD,175880,5.0,0.03125
28,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",241192,SD,175906,120.0,2.0
29,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",330012,SD,175904,120.0,2.0
30,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",344134,SD,175896,720.0,18.0
31,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",319406,SD,175798,240.0,4.0
32,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",251874,SD,175768,600.0,10.0
