,Boca de entrega,Nº Orden@Tipo Documento,Nº Orden@Nro. Documento,Artículo@LITM,Artículo@Descripcion,Cajas Solicitadas,Pallets Solicitados
0,357270,SD,663322,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",20.0,0.076923
1,357270,SD,663322,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",144.0,1.0
2,274749,SD,175930,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",180.0,3.0
3,274749,SD,175930,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",84.0,1.166667
4,274749,SD,663838,6030040040,"MAYO,MAYOLIVA,L.G,12,250 CC,DP,ST (SIN TAPA),ESP,M",19.0,0.073077
5,274749,SD,663838,6030040007,"MAYO,MAYOLIVA,L.G,12,500 CC,DP,CT,ESP,M.I./ARL    ",14.0,0.097222
6,274749,SD,663838,6030010007,"MAYO,NATURA,RVL 31%,L.G,12,250 CC,DP,ST (SIN TAPA)",40.0,0.153846
7,274749,SD,663838,6030010019,"MAYO,NATURA,RVL 31%,L.G,12,500 CC,DP,CT,ESP,M.I./A",36.0,0.25
8,274749,SD,663838,6030010208,"MAYO,NATURA,RVL 31%,L.G,4,2900 CC,SH,ST (SIN TAPA)",16.0,0.2
9,274749,SD,663838,6030010026,"MAYO,NATURA,RVL 31%,L.G,8,1000 CC,DP,CT,ESP,M.I./A",54.0,0.5
10,274749,SD,663838,6090020011,"MOSTAZA,ADEREZO NATURA,12,500 G,DP,CT,ESP,M.I.    ",18.0,0.125
11,274749,SD,663893,6040100009,"KET,NATURA,12,500 G,DP,CT,ESP,M.I.                ",18.0,0.125
12,274749,SD,663893,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",20.0,0.076923
13,279534,SD,175936,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",216.0,3.6
14,346100,SD,175890,6011270001,"AC,COPISI,GIR/OLIVA,12X500ML,B,ESP,M.I./ARL       ",5.0,0.034722
15,346100,SD,175890,6011270002,"AC,COPISI,GIR/OLIVA,12X900ML,B,ESP,M.I./ARL       ",5.0,0.047619
16,346100,SD,175890,6010010007,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL              ",50.0,0.833333
17,346100,SD,175890,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",72.0,1.0
18,346100,SD,175890,6010010008,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL                 ",100.0,2.0
19,346100,SD,175890,6011570001,"AC,NATURA,GIR/OLIVA,15X900ML,C,ESP,M.I.           ",5.0,0.069444
20,225582,SD,175942,6010010077,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.                 ",288.0,4.0
21,258285,SD,663878,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",50.0,0.192308
22,258285,SD,663879,6040100010,"KET,NATURA L.G.,12,250 GR,DP,CT (CON TAPA),ESP,MER",10.0,0.038462
23,316509,SD,663844,6030050070,"MAYO,CADA DIA,RVL,12,250 CC,L.G,DP,ST (SIN TAPA),E",10.0,0.038462
24,316509,SD,663844,6030050071,"MAYO,CADA DIA,RVL,12,500 CC,L.G,DP,CT,ESP,MERCADO ",10.0,0.069444
25,316509,SD,663844,6030050072,"MAYO,CADA DIA,RVL,8,1000 CC,L.G,DP,CT,ESP,MERCADO ",2.0,0.018519
