,Depósito Padre,SKU,Descripción,Lote,Fecha de Vencimiento,Dias al Vencimiento,cajas_x_pallets,Cajas Disponibles
0,       CDGD,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",061223                        ,12/5/2025,660,60,0.0
1,       CDGD,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",080224                        ,2/7/2026,724,60,96509.0
2,       CDGD,6010010007               ,"AC,NATURA,GIR,12X1,5L,C,ESP,M.I./ARL",170124                        ,1/16/2026,702,60,58.0
3,       CDGD,6010010008               ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",020124                        ,1/2/2026,688,50,106.0
4,       CDGD,6010010008               ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",080224                        ,2/7/2026,724,50,6015.0
5,       CDGD,6010010008               ,"AC,NATURA,GIR,6X3L,B,ESP,M.I./ARL",200124                        ,1/22/2026,708,50,1750.0
6,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",010224                        ,1/31/2026,717,72,18.0
7,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",040224                        ,2/3/2026,720,72,9772.0
8,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",060822                        ,8/4/2024,172,72,1.0
9,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",090923                        ,9/8/2025,572,72,28.0
10,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",111123                        ,11/10/2025,635,72,24.0
11,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",210124                        ,1/20/2026,706,72,96.0
12,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",231223                        ,12/22/2025,677,72,72.0
13,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",301123                        ,11/30/2025,655,72,0.0
14,       CDGD,6010010077               ,"AC,NATURA,GIR,15X900ML,C,ESP,M.I.",311023                        ,10/30/2025,624,72,4.0
15,       CDGD,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",150124                        ,1/15/2026,701,60,36.0
16,       CDGD,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",260124                        ,1/25/2026,711,60,1200.0
17,       CDGD,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",280923                        ,9/27/2025,591,60,15.0
18,       CDGD,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",291223                        ,12/28/2025,683,60,60.0
19,       CDGD,6010010112               ,"AC,NATURA,GIR,4X5L,C,ESP,M.I./ARL",301023                        ,10/29/2025,623,60,13.0
20,       CDGD,6010020199               ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",031022                        ,10/1/2024,230,60,720.0
21,       CDGD,6010020199               ,"AC,FAMILIAR,GIR,12X1,5L,B,ESP,M.I.",100922                        ,9/9/2024,208,60,79.0
22,       CDGD,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",091023                        ,10/8/2025,602,60,544.0
23,       CDGD,6010020204               ,"AC,FAMILIAR,94%SOJ-6%GIR,4X5L,C,ESP,ESP.P.TRATADO NO RETORNA",250823                        ,8/25/2025,558,60,5.0
